"IDpol","ClaimNb","Exposure","VehPower","VehAge","DrivAge","BonusMalus","VehBrand","VehGas","Area","Density","Region","TotalClaimAmount","DrivAge_Band","BM_Band"
"3227",1,0.96,6,7,47,50,"B4","Regular","E",2498,"Aquitaine",984.07,"[45,55)","[49,60)"
"3280",1,0.75,9,0,54,50,"B12","Regular","A",34,"Bourgogne",3647.26,"[45,55)","[49,60)"
"3351",1,0.47,4,0,51,50,"B12","Regular","E",2580,"Aquitaine",1183.63,"[45,55)","[49,60)"
"3362",1,0.85,4,0,26,80,"B12","Regular","D",610,"Languedoc-Roussillon",4166.79,"[25,35)","[80,90)"
"3407",1,0.93,9,0,68,50,"B12","Regular","F",17140,"Ile-de-France",1096.52,"[65,100]","[49,60)"
"3468",2,0.81,10,0,53,50,"B12","Diesel","C",112,"Provence-Alpes-Cotes-D'Azur",791.78,"[45,55)","[49,60)"
"3801",1,0.86,10,4,53,50,"B12","Regular","D",1693,"Rhone-Alpes",5451.29,"[45,55)","[49,60)"
"3895",1,0.39,7,8,29,60,"B1","Regular","C",325,"Lorraine",6239.07,"[25,35)","[60,70)"
"3897",1,0.69,4,0,43,50,"B12","Regular","E",3317,"Provence-Alpes-Cotes-D'Azur",12555.36,"[35,45)","[49,60)"
"3940",1,0.48,10,0,48,50,"B12","Diesel","E",9307,"Rhone-Alpes",1551.38,"[45,55)","[49,60)"
"4094",1,0.26,12,3,28,76,"B12","Diesel","B",59,"Ile-de-France",1309.81,"[25,35)","[70,80)"
"4178",1,0.75,5,0,36,50,"B12","Regular","A",17,"Corse",326.57,"[35,45)","[49,60)"
"4214",1,0.55,8,8,51,100,"B12","Regular","F",27000,"Ile-de-France",409.13,"[45,55)","[100,250]"
"4232",2,0.66,7,0,51,50,"B12","Regular","F",27000,"Ile-de-France",1473.79,"[45,55)","[49,60)"
"4263",1,0.65,10,7,27,76,"B12","Diesel","C",162,"Pays-de-la-Loire",549.21,"[25,35)","[70,80)"
"4376",1,0.24,5,6,28,68,"B3","Diesel","E",3317,"Provence-Alpes-Cotes-D'Azur",433.89,"[25,35)","[60,70)"
"4663",1,0.49,11,0,39,76,"B12","Diesel","F",27000,"Ile-de-France",1746.38,"[35,45)","[70,80)"
"4718",1,0.51,6,0,35,64,"B12","Regular","D",949,"Centre",575.19,"[35,45)","[60,70)"
"5038",1,0.59,7,5,30,85,"B12","Diesel","E",3744,"Provence-Alpes-Cotes-D'Azur",1440.4,"[25,35)","[80,90)"
"5062",1,0.54,5,0,25,80,"B3","Diesel","F",10961,"Ile-de-France",1405.75,"[25,35)","[80,90)"
"5170",1,0.52,4,10,27,100,"B2","Regular","C",376,"Provence-Alpes-Cotes-D'Azur",787.66,"[25,35)","[100,250]"
"5181",1,0.57,5,2,26,100,"B12","Diesel","D",1412,"Auvergne",191.15,"[25,35)","[100,250]"
"5244",1,0.01,12,4,69,50,"B12","Diesel","A",7,"Provence-Alpes-Cotes-D'Azur",5340.29,"[65,100]","[49,60)"
"5246",1,0.57,11,0,37,50,"B12","Regular","E",3430,"Provence-Alpes-Cotes-D'Azur",378.33,"[35,45)","[49,60)"
"5319",2,0.42,11,0,45,50,"B12","Diesel","D",1248,"Ile-de-France",32186.45,"[45,55)","[49,60)"
"5477",1,0.45,7,0,49,50,"B12","Diesel","C",113,"Languedoc-Roussillon",830.36,"[45,55)","[49,60)"
"5741",1,0.47,7,0,32,80,"B12","Regular","E",3317,"Provence-Alpes-Cotes-D'Azur",3950.26,"[25,35)","[80,90)"
"5973",1,0.52,9,0,34,100,"B12","Regular","E",9307,"Rhone-Alpes",1662.96,"[25,35)","[100,250]"
"6031",1,0.46,6,5,47,70,"B5","Diesel","D",1021,"Basse-Normandie",680.7,"[45,55)","[70,80)"
"6109",1,0.39,11,6,46,50,"B1","Diesel","D",1422,"Rhone-Alpes",600.21,"[45,55)","[49,60)"
"6242",1,0.5,9,0,34,55,"B12","Regular","D",824,"Languedoc-Roussillon",594.76,"[25,35)","[49,60)"
"6294",1,0.43,6,8,23,100,"B1","Diesel","D",800,"Aquitaine",83.14,"[17,25)","[100,250]"
"6331",1,0.44,7,0,43,50,"B12","Regular","C",188,"Picardie",553.22,"[35,45)","[49,60)"
"6375",1,0.47,7,4,46,50,"B6","Regular","B",56,"Ile-de-France",2031.77,"[45,55)","[49,60)"
"6477",1,0.29,6,0,42,90,"B12","Regular","F",17140,"Ile-de-France",893.56,"[35,45)","[90,100)"
"6575",1,0.26,5,6,32,71,"B1","Regular","E",3274,"Ile-de-France",90.24,"[25,35)","[70,80)"
"6785",1,0.44,6,0,41,51,"B12","Regular","D",1370,"Midi-Pyrenees",581.21,"[35,45)","[49,60)"
"6886",1,0.42,6,0,41,75,"B2","Diesel","E",3744,"Provence-Alpes-Cotes-D'Azur",83.87,"[35,45)","[70,80)"
"6937",2,0.43,5,8,18,100,"B5","Diesel","E",2498,"Aquitaine",1175,"[17,25)","[100,250]"
"7123",1,0.46,7,0,44,58,"B12","Diesel","C",458,"Provence-Alpes-Cotes-D'Azur",579.14,"[35,45)","[49,60)"
"7222",1,0.27,5,2,55,50,"B12","Diesel","D",966,"Bourgogne",407.09,"[55,65)","[49,60)"
"7232",1,0.14,6,0,31,51,"B12","Regular","D",675,"Languedoc-Roussillon",891.75,"[25,35)","[49,60)"
"7330",1,0.21,4,3,36,100,"B1","Regular","E",2537,"Nord-Pas-de-Calais",647.34,"[35,45)","[100,250]"
"7465",1,0.26,15,10,36,50,"B12","Regular","C",256,"Rhone-Alpes",2101.04,"[35,45)","[49,60)"
"7489",1,0.38,7,2,33,100,"B2","Diesel","E",5460,"Ile-de-France",74.23,"[25,35)","[100,250]"
"7652",1,0.35,6,0,73,58,"B12","Regular","E",4762,"Provence-Alpes-Cotes-D'Azur",2767.64,"[65,100]","[49,60)"
"7655",1,0.36,5,0,53,64,"B12","Regular","C",102,"Provence-Alpes-Cotes-D'Azur",734.81,"[45,55)","[60,70)"
"7741",1,0.26,6,2,56,50,"B12","Diesel","B",97,"Pays-de-la-Loire",626.68,"[55,65)","[49,60)"
"7757",1,0.35,10,1,54,66,"B12","Regular","A",20,"Rhone-Alpes",742.73,"[45,55)","[60,70)"
"7779",1,0.24,8,4,28,68,"B12","Regular","D",824,"Languedoc-Roussillon",79.86,"[25,35)","[60,70)"
"7924",1,0.26,6,3,45,50,"B12","Regular","E",2618,"Picardie",746.84,"[45,55)","[49,60)"
"8077",1,0.33,7,9,49,50,"B12","Diesel","C",330,"Provence-Alpes-Cotes-D'Azur",72.93,"[45,55)","[49,60)"
"8092",1,0.25,4,0,31,60,"B12","Regular","D",653,"Rhone-Alpes",712.13,"[25,35)","[60,70)"
"8652",1,0.25,10,1,56,50,"B12","Regular","C",159,"Languedoc-Roussillon",564.45,"[55,65)","[49,60)"
"8912",1,0.12,7,0,75,50,"B12","Regular","E",6902,"Lorraine",1449.64,"[65,100]","[49,60)"
"9501",1,0.19,4,0,51,50,"B12","Regular","C",100,"Poitou-Charentes",1037.95,"[45,55)","[49,60)"
"9589",1,0.14,5,0,60,50,"B12","Regular","F",12750,"Ile-de-France",1181.77,"[55,65)","[49,60)"
"9954",1,0.14,4,7,78,62,"B6","Regular","D",1541,"Languedoc-Roussillon",1284.45,"[65,100]","[60,70)"
"9993",1,0.2,7,4,22,100,"B5","Regular","B",53,"Bourgogne",1826.34,"[17,25)","[100,250]"
"10175",1,0.12,5,0,25,72,"B12","Regular","D",515,"Poitou-Charentes",343.21,"[25,35)","[70,80)"
"10741",1,0.07,10,10,24,80,"B12","Regular","B",72,"Aquitaine",6241.73,"[17,25)","[80,90)"
"16650",1,1,8,9,56,50,"B6","Diesel","C",272,"Aquitaine",1128.12,"[55,65)","[49,60)"
"16661",1,1,7,1,63,50,"B1","Diesel","D",1062,"Auvergne",1626.6,"[55,65)","[49,60)"
"16712",1,0.5,5,4,42,50,"B1","Regular","C",361,"Haute-Normandie",109.38,"[35,45)","[49,60)"
"16842",1,1,4,13,36,58,"B2","Regular","C",229,"Bretagne",1128.12,"[35,45)","[49,60)"
"16939",1,0.68,5,4,46,50,"B6","Regular","E",4116,"Centre",3560.09,"[45,55)","[49,60)"
"16948",2,0.75,4,8,56,61,"B5","Regular","D",1284,"Basse-Normandie",1206.52,"[55,65)","[60,70)"
"16961",1,0.54,7,12,44,52,"B1","Regular","C",399,"Centre",1006.88,"[35,45)","[49,60)"
"16962",1,0.19,7,13,44,65,"B1","Regular","C",399,"Centre",1128.12,"[35,45)","[60,70)"
"16985",1,0.35,8,9,45,62,"B14","Diesel","C",151,"Rhone-Alpes",1128.12,"[45,55)","[60,70)"
"17000",1,1,6,2,73,55,"B2","Diesel","C",105,"Centre",1021.82,"[65,100]","[49,60)"
"17006",1,1,5,7,61,50,"B1","Regular","C",461,"Bretagne",1128.12,"[55,65)","[49,60)"
"17023",1,1,7,8,53,50,"B1","Regular","C",121,"Centre",84.3,"[45,55)","[49,60)"
"17087",1,0.19,7,0,44,50,"B1","Diesel","B",56,"Basse-Normandie",1128.12,"[35,45)","[49,60)"
"17125",1,1,8,7,65,62,"B3","Regular","A",44,"Centre",1128.12,"[65,100]","[60,70)"
"17171",1,1,7,8,78,50,"B1","Regular","C",282,"Centre",109.56,"[65,100]","[49,60)"
"17265",1,1,4,6,51,50,"B2","Regular","A",40,"Centre",1544.32,"[45,55)","[49,60)"
"17279",1,1,4,8,76,52,"B6","Regular","C",405,"Centre",820.58,"[65,100]","[49,60)"
"17288",1,0.59,6,1,69,50,"B1","Regular","D",741,"Centre",1128.12,"[65,100]","[49,60)"
"17450",1,0.99,8,9,56,50,"B1","Diesel","D",1284,"Basse-Normandie",1128.12,"[55,65)","[49,60)"
"17520",1,1,5,1,72,50,"B1","Regular","A",48,"Centre",316.62,"[65,100]","[49,60)"
"17599",1,0.39,6,10,55,50,"B2","Diesel","A",26,"Pays-de-la-Loire",1700.93,"[55,65)","[49,60)"
"17635",1,1,5,1,72,50,"B2","Regular","D",581,"Rhone-Alpes",1128.12,"[65,100]","[49,60)"
"17678",1,0.5,6,6,44,50,"B1","Diesel","B",56,"Centre",1128.12,"[35,45)","[49,60)"
"17681",1,1,7,9,78,50,"B1","Regular","D",1284,"Basse-Normandie",520.32,"[65,100]","[49,60)"
"17711",1,0.49,6,5,50,50,"B2","Diesel","A",48,"Bretagne",69348,"[45,55)","[49,60)"
"17717",1,1,6,6,78,50,"B1","Regular","A",43,"Poitou-Charentes",1128.12,"[65,100]","[49,60)"
"17850",1,0.75,4,10,50,50,"B1","Diesel","C",251,"Basse-Normandie",92.99,"[45,55)","[49,60)"
"17948",1,1,5,10,62,50,"B1","Regular","E",2563,"Ile-de-France",649.46,"[55,65)","[49,60)"
"18037",1,0.67,7,2,53,62,"B2","Regular","A",13,"Centre",1128.12,"[45,55)","[60,70)"
"18070",1,1,6,13,48,50,"B5","Regular","C",335,"Centre",258.15,"[45,55)","[49,60)"
"18085",1,1,7,6,54,50,"B2","Regular","B",66,"Centre",1128.12,"[45,55)","[49,60)"
"18134",1,1,15,1,73,50,"B10","Regular","A",10,"Centre",5468.42,"[65,100]","[49,60)"
"18165",1,0.24,7,18,51,100,"B1","Regular","D",1313,"Centre",3714.99,"[45,55)","[100,250]"
"18179",1,0.72,4,11,79,50,"B1","Regular","A",39,"Centre",25074.81,"[65,100]","[49,60)"
"18301",1,1,10,11,66,50,"B12","Diesel","E",4116,"Centre",2514.57,"[65,100]","[49,60)"
"18417",1,0.5,5,5,53,50,"B1","Regular","B",94,"Bretagne",57.77,"[45,55)","[49,60)"
"18464",1,1,7,14,63,50,"B1","Regular","D",1943,"Centre",10.16,"[55,65)","[49,60)"
"18492",1,1,5,9,50,50,"B5","Diesel","C",399,"Centre",1128.12,"[45,55)","[49,60)"
"18549",1,1,9,10,53,85,"B1","Regular","C",255,"Centre",1128.12,"[45,55)","[80,90)"
"18698",2,1,6,12,86,50,"B1","Regular","C",227,"Poitou-Charentes",2256.24,"[65,100]","[49,60)"
"18718",1,1,6,4,67,50,"B1","Diesel","A",18,"Centre",1253,"[65,100]","[49,60)"
"18735",1,1,5,8,56,50,"B2","Regular","E",8455,"Rhone-Alpes",1128.12,"[55,65)","[49,60)"
"18748",1,1,11,11,48,50,"B10","Regular","A",49,"Poitou-Charentes",1128.12,"[45,55)","[49,60)"
"18761",1,0.93,7,14,60,50,"B2","Regular","C",295,"Centre",367.49,"[55,65)","[49,60)"
"18815",1,0.16,9,16,64,50,"B2","Regular","C",295,"Centre",13.38,"[55,65)","[49,60)"
"18840",1,1,5,11,43,50,"B2","Diesel","A",44,"Centre",1128.12,"[35,45)","[49,60)"
"18844",1,1,4,4,75,50,"B2","Regular","C",385,"Centre",7165.1,"[65,100]","[49,60)"
"18854",1,0.34,6,0,52,50,"B6","Regular","B",50,"Centre",735.57,"[45,55)","[49,60)"
"18869",1,0.79,7,8,43,50,"B2","Regular","A",16,"Centre",234.15,"[35,45)","[49,60)"
"18916",1,0.33,10,7,49,50,"B11","Regular","B",73,"Centre",66458.9,"[45,55)","[49,60)"
"18926",1,1,7,10,67,55,"B2","Regular","A",48,"Centre",770.54,"[65,100]","[49,60)"
"19064",1,1,6,9,53,50,"B2","Regular","A",24,"Centre",956.84,"[45,55)","[49,60)"
"19170",1,1,12,5,51,50,"B12","Diesel","A",8,"Pays-de-la-Loire",1128.12,"[45,55)","[49,60)"
"19190",1,1,5,1,79,50,"B2","Regular","C",240,"Rhone-Alpes",2703.84,"[65,100]","[49,60)"
"19195",2,1,7,3,75,58,"B2","Regular","B",91,"Centre",10850.96,"[65,100]","[49,60)"
"19220",1,1,5,9,43,50,"B4","Diesel","A",35,"Centre",772.17,"[35,45)","[49,60)"
"19280",1,0.24,7,0,54,50,"B13","Diesel","E",4116,"Centre",1232.63,"[45,55)","[49,60)"
"19326",1,1,6,5,54,50,"B5","Regular","D",1102,"Bretagne",2332.41,"[45,55)","[49,60)"
"19343",1,1,6,2,80,50,"B2","Regular","C",473,"Bretagne",1128.12,"[65,100]","[49,60)"
"19374",1,1,4,12,49,50,"B2","Regular","D",522,"Pays-de-la-Loire",63.86,"[45,55)","[49,60)"
"19424",1,0.87,6,1,71,62,"B2","Diesel","C",229,"Bretagne",1128.12,"[65,100]","[60,70)"
"19525",1,1,4,11,86,50,"B2","Diesel","B",51,"Centre",1128.12,"[65,100]","[49,60)"
"19548",1,1,7,13,73,50,"B1","Regular","C",182,"Centre",1128.12,"[65,100]","[49,60)"
"19591",1,1,8,6,69,50,"B2","Regular","C",359,"Bretagne",679.91,"[65,100]","[49,60)"
"19642",1,0.74,6,4,42,50,"B2","Diesel","A",28,"Centre",1057.94,"[35,45)","[49,60)"
"19677",1,0.98,7,6,52,50,"B1","Diesel","A",44,"Centre",240.86,"[45,55)","[49,60)"
"19731",1,0.16,12,12,45,62,"B3","Regular","A",10,"Centre",1128.12,"[45,55)","[60,70)"
"19831",1,1,5,2,52,58,"B3","Diesel","D",1313,"Centre",1368.55,"[45,55)","[49,60)"
"19857",1,0.75,4,15,72,50,"B1","Regular","B",57,"Centre",504.93,"[65,100]","[49,60)"
"19871",1,1,7,11,87,69,"B2","Regular","C",399,"Centre",1128.12,"[65,100]","[60,70)"
"19883",1,1,6,2,50,68,"B2","Diesel","A",32,"Centre",30829.41,"[45,55)","[60,70)"
"19887",2,1,5,17,58,102,"B1","Regular","A",44,"Centre",2256.24,"[55,65)","[100,250]"
"19962",1,1,7,14,55,50,"B1","Regular","C",111,"Centre",1128.12,"[55,65)","[49,60)"
"20001",1,0.24,8,10,49,50,"B10","Regular","A",12,"Centre",4836.6,"[45,55)","[49,60)"
"20012",1,1,7,5,51,50,"B1","Diesel","B",59,"Centre",215.84,"[45,55)","[49,60)"
"20072",1,1,7,7,82,50,"B1","Regular","A",27,"Centre",500,"[65,100]","[49,60)"
"20126",1,1,9,1,62,55,"B1","Regular","B",91,"Centre",1189.41,"[55,65)","[49,60)"
"20299",1,1,6,6,69,50,"B3","Diesel","A",25,"Centre",1128.12,"[65,100]","[49,60)"
"20319",1,1,8,1,45,50,"B2","Diesel","C",106,"Centre",402.79,"[45,55)","[49,60)"
"20324",1,1,7,5,72,50,"B2","Regular","A",26,"Centre",1128.12,"[65,100]","[49,60)"
"20394",1,1,5,6,46,76,"B4","Diesel","E",2007,"Ile-de-France",795.38,"[45,55)","[70,80)"
"20462",1,1,11,6,42,50,"B2","Regular","B",74,"Centre",2163.72,"[35,45)","[49,60)"
"20503",1,1,7,5,50,50,"B1","Diesel","D",1313,"Centre",2821.16,"[45,55)","[49,60)"
"20513",1,1,4,21,68,50,"B1","Regular","A",30,"Centre",858.28,"[65,100]","[49,60)"
"20558",1,1,7,12,68,50,"B10","Regular","C",270,"Centre",1128.12,"[65,100]","[49,60)"
"20734",1,0.52,6,4,46,50,"B2","Diesel","B",50,"Basse-Normandie",1128.12,"[45,55)","[49,60)"
"20761",1,1,8,6,58,55,"B13","Diesel","D",575,"Bretagne",1128.12,"[55,65)","[49,60)"
"20769",1,0.99,11,8,53,77,"B13","Regular","C",165,"Bretagne",1128.12,"[45,55)","[70,80)"
"20778",1,1,6,5,71,76,"B2","Diesel","D",634,"Bretagne",1128.12,"[65,100]","[70,80)"
"20867",1,0.96,4,15,54,50,"B1","Regular","C",473,"Bretagne",1128.12,"[45,55)","[49,60)"
"20881",1,0.22,7,4,49,50,"B2","Diesel","E",4128,"Pays-de-la-Loire",3115.36,"[45,55)","[49,60)"
"20918",1,1,5,14,49,55,"B2","Regular","E",4128,"Pays-de-la-Loire",1128.12,"[45,55)","[49,60)"
"20924",1,1,7,10,47,50,"B6","Diesel","C",122,"Basse-Normandie",569.2,"[45,55)","[49,60)"
"20946",1,1,5,4,71,50,"B1","Regular","B",91,"Pays-de-la-Loire",716.23,"[65,100]","[49,60)"
"21024",1,1,6,6,81,50,"B13","Diesel","C",112,"Centre",587.73,"[65,100]","[49,60)"
"21039",1,1,6,11,50,51,"B2","Regular","B",60,"Basse-Normandie",217.89,"[45,55)","[49,60)"
"21060",1,0.42,6,12,42,50,"B2","Regular","C",133,"Bretagne",1128.12,"[35,45)","[49,60)"
"21068",1,0.96,4,11,43,50,"B1","Regular","C",196,"Basse-Normandie",1721.48,"[35,45)","[49,60)"
"21155",1,0.37,4,10,78,50,"B2","Diesel","A",45,"Centre",10407.2,"[65,100]","[49,60)"
"21180",1,1,6,3,51,57,"B3","Regular","C",287,"Bretagne",161.03,"[45,55)","[49,60)"
"21222",1,1,4,10,54,50,"B2","Regular","D",1182,"Rhone-Alpes",1128.12,"[45,55)","[49,60)"
"21271",1,1,7,14,84,50,"B13","Regular","E",9307,"Rhone-Alpes",1128.12,"[65,100]","[49,60)"
"21292",1,0.36,5,8,56,50,"B2","Diesel","F",27000,"Ile-de-France",1128.12,"[55,65)","[49,60)"
"21328",1,1,6,5,59,73,"B2","Diesel","C",270,"Nord-Pas-de-Calais",1128.12,"[55,65)","[70,80)"
"21343",1,0.52,7,3,51,56,"B1","Diesel","B",71,"Centre",1128.12,"[45,55)","[49,60)"
"21357",2,1,4,12,39,50,"B3","Diesel","A",32,"Rhone-Alpes",1718.91,"[35,45)","[49,60)"
"21359",1,1,4,1,54,50,"B1","Regular","A",40,"Rhone-Alpes",492.97,"[45,55)","[49,60)"
"21432",1,1,4,4,70,52,"B2","Diesel","C",133,"Rhone-Alpes",1128.12,"[65,100]","[49,60)"
"21462",1,0.22,4,5,69,50,"B1","Regular","C",473,"Bretagne",1152.45,"[65,100]","[49,60)"
"21549",1,1,4,10,56,54,"B5","Regular","E",3386,"Bretagne",1128.12,"[55,65)","[49,60)"
"21575",1,1,5,2,72,50,"B1","Regular","C",473,"Bretagne",1128.12,"[65,100]","[49,60)"
"21602",1,1,5,1,58,64,"B3","Regular","F",27000,"Ile-de-France",133.39,"[55,65)","[60,70)"
"21663",1,1,4,15,68,50,"B1","Regular","A",9,"Centre",1128.12,"[65,100]","[49,60)"
"21701",1,1,4,8,39,50,"B4","Diesel","A",29,"Centre",75.32,"[35,45)","[49,60)"
"21773",1,0.39,7,4,74,50,"B1","Diesel","C",155,"Centre",1128.12,"[65,100]","[49,60)"
"21825",1,0.43,5,4,53,50,"B4","Diesel","C",128,"Centre",1085.44,"[45,55)","[49,60)"
"21846",1,0.5,7,4,52,50,"B2","Regular","A",14,"Centre",3407.2,"[45,55)","[49,60)"
"21856",1,1,6,2,77,50,"B1","Regular","C",399,"Centre",366.4,"[65,100]","[49,60)"
"21905",1,0.74,6,1,58,50,"B10","Regular","C",399,"Centre",68.92,"[55,65)","[49,60)"
"21940",1,1,6,6,65,62,"B2","Diesel","A",16,"Centre",1128.12,"[65,100]","[60,70)"
"21969",1,1,7,11,55,90,"B1","Regular","A",30,"Centre",1247.73,"[55,65)","[90,100)"
"21974",1,1,5,2,76,50,"B2","Regular","A",43,"Centre",1128.12,"[65,100]","[49,60)"
"21988",1,1,7,15,51,50,"B2","Regular","A",25,"Languedoc-Roussillon",92.43,"[45,55)","[49,60)"
"22044",1,1,5,12,62,50,"B3","Diesel","C",399,"Centre",1128.12,"[55,65)","[49,60)"
"22079",1,1,7,5,63,50,"B2","Diesel","C",192,"Centre",71.47,"[55,65)","[49,60)"
"22111",1,0.71,7,3,51,55,"B3","Diesel","A",9,"Centre",1128.12,"[45,55)","[49,60)"
"22231",1,1,5,6,57,62,"B4","Diesel","E",4116,"Centre",1250.08,"[55,65)","[60,70)"
"22234",1,1,6,3,41,50,"B2","Regular","C",270,"Centre",1320.24,"[35,45)","[49,60)"
"22289",1,0.75,6,4,48,58,"B1","Diesel","A",13,"Pays-de-la-Loire",1128.12,"[45,55)","[49,60)"
"22300",1,0.77,6,1,48,50,"B2","Regular","D",1064,"Centre",1957.96,"[45,55)","[49,60)"
"22303",1,1,9,13,44,50,"B11","Diesel","C",394,"Centre",66.32,"[35,45)","[49,60)"
"22350",1,0.72,5,0,64,50,"B2","Diesel","B",51,"Centre",2839.2,"[55,65)","[49,60)"
"22364",1,1,6,3,47,50,"B1","Diesel","A",15,"Bourgogne",914.09,"[45,55)","[49,60)"
"22479",1,1,7,11,41,50,"B1","Regular","D",821,"Centre",139.65,"[35,45)","[49,60)"
"22576",1,1,4,15,72,50,"B2","Regular","C",229,"Bretagne",1128.12,"[65,100]","[49,60)"
"22652",1,1,6,3,38,50,"B1","Diesel","E",2103,"Basse-Normandie",1128.12,"[35,45)","[49,60)"
"22695",1,1,5,8,66,50,"B5","Regular","D",1192,"Bretagne",64,"[65,100]","[49,60)"
"22729",1,1,8,6,45,50,"B12","Regular","C",473,"Bretagne",3921.13,"[45,55)","[49,60)"
"22743",1,0.75,7,7,57,50,"B5","Regular","C",229,"Bretagne",1128.12,"[55,65)","[49,60)"
"22752",1,1,6,2,58,50,"B1","Diesel","C",473,"Bretagne",400.15,"[55,65)","[49,60)"
"22787",1,1,6,6,65,52,"B1","Regular","C",229,"Bretagne",1128.12,"[65,100]","[49,60)"
"22816",1,0.88,5,6,52,50,"B3","Regular","C",473,"Bretagne",564.06,"[45,55)","[49,60)"
"22838",1,1,7,3,56,50,"B1","Diesel","C",206,"Provence-Alpes-Cotes-D'Azur",1128.12,"[55,65)","[49,60)"
"22870",1,1,5,5,43,50,"B2","Regular","E",4128,"Pays-de-la-Loire",462.01,"[35,45)","[49,60)"
